Schema,Table,Column,Type,Nullable,Default
dbo,dtproperties,id,int,No,
dbo,dtproperties,objectid,int,Yes,
dbo,dtproperties,property,varchar,No,
dbo,dtproperties,value,varchar,Yes,
dbo,dtproperties,uvalue,nvarchar,Yes,
dbo,dtproperties,lvalue,image,Yes,
dbo,dtproperties,version,int,No,(0)
dbo,g_app_setting,key1,varchar,No,
dbo,g_app_setting,key2,varchar,No,
dbo,g_app_setting,key3,varchar,No,
dbo,g_app_setting,nilai,varchar,Yes,
dbo,g_app_setting_group,id,bigint,No,
dbo,g_app_setting_group,kd_group,char,No,
dbo,g_app_setting_group,nilai,varchar,No,
dbo,g_app_setting_menu,id,bigint,No,
dbo,g_app_setting_menu,key1,varchar,No,
dbo,g_app_setting_menu,key2,varchar,No,
dbo,g_app_setting_menu,key3,varchar,No,
dbo,g_app_setting_user,id,bigint,No,
dbo,g_app_setting_user,kd_user,char,No,
dbo,g_app_setting_user,nilai,nvarchar,No,
dbo,g_help,nama_form,varchar,No,
dbo,g_help,nomor,int,No,
dbo,g_help,tanya,varchar,No,
dbo,g_help,jawab,varchar,No,
dbo,g_info_perusahaan,perusahaan,char,Yes,
dbo,g_info_perusahaan,nama,varchar,Yes,
dbo,g_info_perusahaan,alamat,char,Yes,
dbo,g_info_perusahaan,npwp,char,Yes,
dbo,g_info_perusahaan,pengukuhan,datetime,Yes,
dbo,g_info_perusahaan,direktur,char,Yes,
dbo,g_info_profile,perusahaan,varchar,No,
dbo,g_info_profile,alamat,varchar,No,
dbo,g_info_profile,kota,varchar,No,
dbo,g_info_profile,telp,varchar,No,
dbo,g_info_profile,hp,varchar,No,
dbo,g_info_profile,email,varchar,No,
dbo,g_info_profile,website,varchar,No,
dbo,g_info_profile,nama_kontak,varchar,No,
dbo,g_info_profile,modal_awal,money,Yes,
dbo,g_lickey,lic_key,varchar,No,
dbo,g_log_login,kd_user,char,No,
dbo,g_log_login,komputer,varchar,No,
dbo,g_log_login,ip,varchar,No,
