Schema,Function,Type
dbo,BukuOrder,FUNCTION
dbo,ConvertBarang,FUNCTION
dbo,ConvertKdPegawai,FUNCTION
dbo,ConvertStatus,FUNCTION
dbo,ConvertToDetik,FUNCTION
dbo,ConvertToJam,FUNCTION
dbo,CRekursif,FUNCTION
dbo,fn_diagramobjects,FUNCTION
dbo,GabungString1,FUNCTION
dbo,GetAbsenCakarMas,FUNCTION
dbo,GetAbsenSemuaPegawai,FUNCTION
dbo,GetAbsenSemuaPegawai2,FUNCTION
dbo,GetAbsensiAkhirIstirahat,FUNCTION
dbo,GetAbsensiAwalIstirahat,FUNCTION
dbo,GetAbsensiMasuk,FUNCTION
dbo,GetAbsensiPulang,FUNCTION
dbo,GetCicilanHutang,FUNCTION
dbo,GetCicilanHutangBiayaAngkutPembelian,FUNCTION
dbo,GetCicilanPiutang,FUNCTION
dbo,GetCicilanPiutangJasa,FUNCTION
dbo,GetConvertStatus,FUNCTION
dbo,GetConverttStatusBiaya,FUNCTION
dbo,GetConverttStatusOrder,FUNCTION
dbo,GetDivisiDariNotaKosong,FUNCTION
dbo,getDivisionID,FUNCTION
dbo,GetFormatJam,FUNCTION
dbo,GetFormatTanggal,FUNCTION
dbo,GetHargaAverage,FUNCTION
dbo,GetHargaAverageBarang,FUNCTION
dbo,GetHargaAverageBarangPerTanggal,FUNCTION
dbo,GetHargaAverageBarangPerTanggal_ORI,FUNCTION
dbo,GetHargaAVGStokAwal,FUNCTION
dbo,GetHargaBeliAkhirPerTanggal,FUNCTION
dbo,GetHargaBeliTerakhir,FUNCTION
dbo,GetHargaBersih,FUNCTION
dbo,GetHargaKotorDetail,FUNCTION
dbo,GetInfoBarang,FUNCTION
dbo,GetJamKerjaPegawaiPerHari,FUNCTION
dbo,GetJumlahHariCuti,FUNCTION
dbo,GetJumlahTerpakaiSuratBerharga,FUNCTION
dbo,GetKendaraanJarakTempuh,FUNCTION
dbo,GetKendaraanTanggungJawab,FUNCTION
dbo,GetKodeShiftPegawai,FUNCTION
dbo,GetKomisiPegawai,FUNCTION
dbo,GetKomisiPegawaiDetail,FUNCTION
dbo,GetKuantitasSatuanTerkecil,FUNCTION
dbo,GetLamaKerja,FUNCTION
dbo,GetMaxSatuan,FUNCTION
dbo,GetMaxSatuanString,FUNCTION
dbo,GetNamaHari,FUNCTION
dbo,GetParentTransaksi,FUNCTION
dbo,GetPegawai,FUNCTION
dbo,GetPegawaiAlasanTidakMasuk,FUNCTION
dbo,GetPegawaiAwalCuti,FUNCTION
dbo,GetPegawaiPerDivisi,FUNCTION
dbo,GetPegawaiPerNota,FUNCTION
dbo,GetPegawaiTidakMasuk,FUNCTION
dbo,GetPenjualanPerCustomer,FUNCTION
dbo,GetPenyusutanAset,FUNCTION
dbo,GetRekapHarian,FUNCTION
dbo,GetRekapHarianPerDivisi,FUNCTION
dbo,GetRoot,FUNCTION
dbo,GetSatuanTerkecil,FUNCTION
dbo,GetSelisihKetepatanWaktu,FUNCTION
dbo,GetSelisihKeterlambatan,FUNCTION
dbo,GetSemuaNotaKosong,FUNCTION
dbo,GetSemuaTanggalAktif,FUNCTION
dbo,GetStatusPenjualan,FUNCTION
dbo,GetStokAkhir,FUNCTION
dbo,GetStokBarangPerSupplier,FUNCTION
dbo,GetStokPerUkuran,FUNCTION
dbo,GetStokPerUkuranNew,FUNCTION
dbo,GetStokPerUkuranTotal,FUNCTION
dbo,GetSupplierBarang,FUNCTION
dbo,GetTanggal,FUNCTION
dbo,GetTanggalAktif,FUNCTION
dbo,GetTanggalMasuk,FUNCTION
dbo,GetTanggalMasukPegawai,FUNCTION
dbo,GetTanggalTerakhirTutupBuku,FUNCTION
dbo,GetTanggalTidakMasukPegawai,FUNCTION
dbo,GetTotalDiskonPenjualan,FUNCTION
dbo,GetTotalIzinYangMemotongCuti,FUNCTION
dbo,GetTotalIzinYangTidakMemotongCuti,FUNCTION
dbo,GetTotalJamKerjaPerHari,FUNCTION
dbo,GetTotalPajakPembelian,FUNCTION
dbo,GetTotalPajakPenjualan,FUNCTION
dbo,GetTotalPajakPenjualanJasa,FUNCTION
dbo,GetTotalPembelian,FUNCTION
dbo,GetTotalPenjualan,FUNCTION
dbo,GetTotalPenjualanJasa,FUNCTION
dbo,GetTotalPenjualanPerKasir,FUNCTION
dbo,GetTotalPenyusutanAset,FUNCTION
dbo,GetTotalReturPenjualanTest,FUNCTION
dbo,GetTotalServicesPenjualanJasa,FUNCTION
dbo,GetTransaksiTerakhir,FUNCTION
dbo,GetUrutanSatuan,FUNCTION
dbo,HargaJualDivisiDiskon,FUNCTION
dbo,HitungDiskon,FUNCTION
dbo,IsPegawaiMasuk,FUNCTION
dbo,JumlahTahunPenyusutanAset,FUNCTION
dbo,KeteranganConvertBarang,FUNCTION
dbo,KeteranganConvertBarangPersamaan,FUNCTION
dbo,mon_GetAbsenSemuaPegawai,FUNCTION
dbo,mon_GetCustomerTidakAktif,FUNCTION
dbo,mon_GetFMIPenjualan,FUNCTION
dbo,mon_GetFMIRekapPenjualan,FUNCTION
dbo,mon_GetFMIStok,FUNCTION
dbo,mon_GetKasAkhirPerTanggal,FUNCTION
dbo,mon_GetKehadiranPegawaiHorizontal,FUNCTION
dbo,mon_GetKendaraanRataRata,FUNCTION
dbo,mon_GetPenjualanPerBarangReq1,FUNCTION
dbo,mon_GetPenjualanPerBarangReq2,FUNCTION
dbo,mon_GetPenjualanWithHPP,FUNCTION
dbo,mon_GetPiutangAktifPerTanggal,FUNCTION
dbo,mon_GetSaldoPiutangPerTanggal,FUNCTION
dbo,mon_GetStokAkhiritem,FUNCTION
dbo,mon_GetStokAkhirPerTanggal,FUNCTION
dbo,mon_GetTotalPenjualanBulananPerKategori,FUNCTION
dbo,mon_GetTotalPenjualanKuantum,FUNCTION
dbo,mon_rugi_laba_biaya_luar_usaha,FUNCTION
dbo,mon_rugi_laba_biaya_operasional,FUNCTION
dbo,mon_rugi_laba_hpp,FUNCTION
dbo,mon_rugi_laba_pembelian,FUNCTION
dbo,mon_rugi_laba_pendapatan,FUNCTION
dbo,mon_rugi_laba_penjualan,FUNCTION
dbo,mon_rugi_laba_penjualan_diskon,FUNCTION
dbo,mon_rugi_laba_penjualan_pajak,FUNCTION
dbo,mon_rugi_laba_penjualan_voucher,FUNCTION
dbo,mon_rugi_laba_piutang_pegawai_per_tanggal,FUNCTION
dbo,mon_rugi_laba_retur_pembelian,FUNCTION
dbo,mon_rugi_laba_retur_penjualan,FUNCTION
dbo,mon_rugi_laba_stok_akhir,FUNCTION
dbo,mon_rugi_laba_stok_awal,FUNCTION
dbo,mon_t_penjualan_per_barang_harga_pokok_vd,FUNCTION
dbo,PenyusutanTahunIni,FUNCTION
dbo,terbilang,FUNCTION
dbo,TerbilangDetil,FUNCTION
