Schema,View
dbo,mon_g_barang_histori
dbo,mon_g_barang_histori_client
dbo,mon_g_histori_kas_keluar
dbo,mon_g_histori_kas_masuk
dbo,mon_g_kas_akhir
dbo,mon_g_kas_histori
dbo,mon_g_stok_barang_per_divisi
dbo,mon_g_stok_barang_per_divisi_BACKUP
dbo,mon_g_stok_barang_per_divisi_new
dbo,mon_g_stok_barang_per_divisi_vd
dbo,mon_m_aset_detail
dbo,mon_m_barang_barcode
dbo,mon_m_barang_daftar_harga
dbo,mon_m_barang_divisi
dbo,mon_m_barang_jumlah_transaksi
dbo,mon_m_barang_stok_per_ukuran
dbo,mon_m_barang_stok_per_ukuran_new
dbo,mon_m_biaya
dbo,mon_m_customer
dbo,mon_m_divisi
dbo,mon_m_jasa
dbo,mon_m_supplier
dbo,mon_rl_biaya_adm_dan_umum
dbo,mon_rl_biaya_penjualan
dbo,mon_rl_laporan
dbo,mon_rl_pembelian
dbo,mon_rl_penjualan
dbo,mon_rl_persediaan_akhir
dbo,mon_rl_persediaan_awal
dbo,mon_t_absensi_pegawai
dbo,mon_t_absensi_pegawai3
dbo,mon_t_absensi_ringkasan
dbo,mon_t_awal_kerja
dbo,mon_t_biaya_angkut
dbo,mon_t_biaya_angkut_edit
dbo,mon_t_biaya_operasional
dbo,mon_t_biaya_operasional_edit
dbo,mon_t_customer_pasif
dbo,mon_t_customer_pasif_6
dbo,mon_t_hutang_aktif
dbo,mon_t_hutang_aset_cicilan
dbo,mon_t_hutang_aset_cicilan_edit
dbo,mon_t_hutang_biaya_angkut
dbo,mon_t_hutang_biaya_angkut_cicilan
dbo,mon_t_hutang_biaya_angkut_cicilan_edit
dbo,mon_t_hutang_cicilan
dbo,mon_t_hutang_cicilan_edit
dbo,mon_t_hutang_pegawai
dbo,mon_t_hutang_pegawai_cicilan
dbo,mon_t_hutang_pegawai_cicilan_edit
dbo,mon_t_hutang_pegawai_detail
dbo,mon_t_hutang_pegawai_edit
dbo,mon_t_kas_biaya
dbo,mon_t_kendaraan_pengisian_bbm
dbo,mon_t_kendaraan_rata_rata
dbo,mon_t_kode_user
dbo,mon_t_monitoring_tanggal
dbo,mon_t_mutasi_kas
dbo,mon_t_mutasi_kas_edit
dbo,mon_t_mutasi_stok
dbo,mon_t_mutasi_stok_edit
dbo,mon_t_mutasi_stok_per_nota
dbo,mon_t_opname_stok
dbo,mon_t_opname_stok_edit
dbo,mon_t_pegawai_absen
dbo,mon_t_pegawai_data_pribadi
dbo,mon_t_pegawai_izin
dbo,mon_t_pegawai_izin_edit
dbo,mon_t_pegawai_resign
dbo,mon_t_pegawai_sisa_cuti
dbo,mon_t_pegawai_sp
dbo,mon_t_pegawai_sp_edit
dbo,mon_t_pegawai_status
dbo,mon_t_pegawai_uang_makan
dbo,mon_t_pembelian
dbo,mon_t_pembelian_detail
dbo,mon_t_pembelian_edit
dbo,mon_t_pembelian_order_edit
dbo,mon_t_pembelian_retur
dbo,mon_t_pembelian_retur_edit
dbo,mon_t_pendapatan
dbo,mon_t_pendapatan_edit
dbo,mon_t_penjualan_all
dbo,mon_t_penjualan_buku_penerimaan_tunai
dbo,mon_t_penjualan_cek_harga_jual
dbo,mon_t_penjualan_cek_margin
dbo,mon_t_penjualan_edit
dbo,mon_t_penjualan_jasa
dbo,mon_t_penjualan_jasa_perbulan
dbo,mon_t_penjualan_jasa_percustomer
dbo,mon_t_penjualan_jasa_perhari
dbo,mon_t_penjualan_koin_gudang
dbo,mon_t_penjualan_koin_pegawai
dbo,mon_t_penjualan_komisi_pegawai
dbo,mon_t_penjualan_komisi_pegawai_per_barang
dbo,mon_t_penjualan_komisi_pegawai_total_per_hari
dbo,mon_t_penjualan_komisi_per_pegawai
dbo,mon_t_penjualan_kuantum_per_periode
dbo,mon_t_penjualan_order_edit
dbo,mon_t_penjualan_per_barang
dbo,mon_t_penjualan_per_barang_harga_pokok
dbo,mon_t_penjualan_per_barang_req_1
dbo,mon_t_penjualan_per_barang_req_2
dbo,mon_t_penjualan_per_bulan
dbo,mon_t_penjualan_per_bulan_dan_barang
dbo,mon_t_penjualan_per_bulan_per_divisi
dbo,mon_t_penjualan_per_bulan_per_divisi1
dbo,mon_t_penjualan_per_customer
dbo,mon_t_penjualan_per_divisi
dbo,mon_t_penjualan_per_hari
dbo,mon_t_penjualan_per_hari_divisi
dbo,mon_t_penjualan_per_hari_divisi_001
dbo,mon_t_penjualan_per_hari_divisi_012
dbo,mon_t_penjualan_per_hari_divisi_013
dbo,mon_t_penjualan_per_hari_divisi_014
dbo,mon_t_penjualan_per_hari_divisi_1
dbo,mon_t_penjualan_per_nota
dbo,mon_t_penjualan_per_pegawai_per_jenis
dbo,mon_t_penjualan_per_user
dbo,mon_t_penjualan_retur
dbo,mon_t_penjualan_retur_edit
dbo,mon_t_penjualan_retur_test
dbo,mon_t_penjualan_status
dbo,mon_t_penjualan_total_per_barang_per_customer
dbo,mon_t_persewaan
dbo,mon_t_persewaan_data_pengunjung
dbo,mon_t_persewaan_data_pengunjung_guest_in
dbo,mon_t_persewaan_jasa_percustomer
dbo,mon_t_persewaan_jasa_perhari
dbo,mon_t_persewaan_perbulan
dbo,mon_t_persewaan_status_jasa
dbo,mon_t_piutang_aktif
dbo,mon_t_piutang_aktif_sum
dbo,mon_t_piutang_aktif_total
dbo,mon_t_piutang_cicilan
dbo,mon_t_piutang_cicilan_edit
dbo,mon_t_piutang_form
dbo,mon_t_piutang_rekap_union
dbo,mon_t_piutang_rekap_union_1
dbo,mon_t_tagihan
dbo,mon_t_tagihan_edit
dbo,mon_t_tagihan_kembali
dbo,mon_t_tagihan_pergi
dbo,sams_m_barang
dbo,sams_m_customer
dbo,sams_m_pegawai
dbo,sams_t_penjualan
dbo,sams_t_penjualan_detail
dbo,sams_t_penjualan_per_barang
dbo,sams_t_penjualan_retur
dbo,sams_t_penjualan_retur_detail
dbo,t_hutang_pegawai_edit
dbo,v_g_barang_divisi
dbo,v_g_barang_histori
dbo,v_g_barang_histori_detail
dbo,v_g_barang_stok_akhir
dbo,v_g_barang_stok_awal_average
dbo,v_g_generate_inserts
dbo,v_g_kas_histori
dbo,v_g_kas_histori_detail
dbo,v_g_kas_saldo_akhir
dbo,v_g_kolom
dbo,v_g_log_kegiatan_transaksi
dbo,v_g_log_login
dbo,v_l_faktur_penjualan
dbo,v_m_agama
dbo,v_m_aset
dbo,v_m_aset_detail
dbo,v_m_barang
dbo,v_m_barang_divisi
dbo,v_m_barang_divisi_diskon
dbo,v_m_barang_divisi_supplier
dbo,v_m_barang_formula
dbo,v_m_barang_satuan
dbo,v_m_barang_supplier
dbo,v_m_biaya
dbo,v_m_ekspedisi
dbo,v_m_hari_libur_agama
dbo,v_m_jabatan_gaji
dbo,v_m_jasa
dbo,v_m_jasa_detail
dbo,v_m_kas
dbo,v_m_kota
dbo,v_m_pegawai
dbo,v_m_pegawai_finger_print
dbo,v_m_pegawai_komisi
dbo,v_m_pendapatan
dbo,v_m_pihak_lain
dbo,v_m_supplier
dbo,v_m_surat
dbo,v_m_user_group_menu
dbo,v_m_user_menu
dbo,v_m_userx
dbo,v_t_absensi
dbo,v_t_absensi_2
dbo,v_t_absensi_histori
dbo,v_t_absensi_istirahat
dbo,v_t_absensi_kantor_union
dbo,v_t_absensi_masuk_keluar
dbo,v_t_absensi_pegawai_lain
dbo,v_t_absensi_ringkasan
dbo,v_t_barang_satuan
dbo,v_t_biaya_operasional
dbo,v_t_bukti_pembayaran
